course_order,course,order,word,type,turkish,english
1,Pozdravljanje i osnovna komunikacija,1,Dobro jutro,Phrase,Günaydın,Good morning
1,Pozdravljanje i osnovna komunikacija,2,Dobar dan,Phrase,İyi günler,Good day / Good afternoon
1,Pozdravljanje i osnovna komunikacija,3,Dobro veče,Phrase,İyi akşamlar,Good evening
1,Pozdravljanje i osnovna komunikacija,4,Doviđenja,Phrase,Hoşça kalın,Goodbye
1,Pozdravljanje i osnovna komunikacija,5,Prijatno,Phrase,İyi günler / Hoşça kalın,Have a nice day / Goodbye
1,Pozdravljanje i osnovna komunikacija,6,Zdravo,Phrase,Merhaba,Hello / Hi
1,Pozdravljanje i osnovna komunikacija,7,Ćao,Phrase,Merhaba / Hoşça kal,Hi / Bye
1,Pozdravljanje i osnovna komunikacija,8,Vidimo se,Phrase,Görüşürüz,See you
1,Pozdravljanje i osnovna komunikacija,9,Hvala,Phrase,Teşekkürler,Thank you
1,Pozdravljanje i osnovna komunikacija,10,Izvolite,Phrase,Buyrunuz,Here you go / Please
1,Pozdravljanje i osnovna komunikacija,11,Izvini,Phrase,Özür dilerim,Excuse me / Sorry
1,Pozdravljanje i osnovna komunikacija,12,Drago mi je,Phrase,Memnun oldum,Nice to meet you
1,Pozdravljanje i osnovna komunikacija,13,Dobro došli,Phrase,Hoş geldiniz,Welcome
1,Pozdravljanje i osnovna komunikacija,14,pozdrav,Noun (m, sg),Selam,Greeting
1,Pozdravljanje i osnovna komunikacija,15,pozdravi,Noun (m, pl),Selamlar,Greetings
2,Lične zamenice i glagol biti,1,ja,Pronoun,Ben,I
2,Lične zamenice i glagol biti,2,ti,Pronoun,Sen,You (singular)
2,Lične zamenice i glagol biti,3,on,Pronoun,O (erkek),He
2,Lične zamenice i glagol biti,4,ona,Pronoun,O (kadın),She
2,Lične zamenice i glagol biti,5,ono,Pronoun,O (nötr),It
2,Lične zamenice i glagol biti,6,mi,Pronoun,Biz,We
2,Lične zamenice i glagol biti,7,vi,Pronoun,Siz,You (plural/formal)
2,Lične zamenice i glagol biti,8,oni,Pronoun,Onlar (eril/karma),They (masculine/mixed)
2,Lične zamenice i glagol biti,9,one,Pronoun,Onlar (dişil),They (feminine)
2,Lične zamenice i glagol biti,10,sam / jesam,Verb,-yim (ben),I am
2,Lične zamenice i glagol biti,11,si / jesi,Verb,-sin (sen),You are
2,Lične zamenice i glagol biti,12,je / jeste,Verb,-dir (o),He/She/It is
2,Lične zamenice i glagol biti,13,smo / jesmo,Verb,-yiz (biz),We are
2,Lične zamenice i glagol biti,14,ste / jeste,Verb,-siniz (siz),You are
2,Lične zamenice i glagol biti,15,su / jesu,Verb,-dirler (onlar),They are
